database_name	schema_name	function_name	function_type	return_type	parameters	parameter_types	varargs	macro_definition	has_side_effects	internal	description	function_oid
system	main	__internal_compress_string_hugeint	scalar	HUGEINT	col0	VARCHAR			false	true		338
system	main	__internal_compress_string_ubigint	scalar	UBIGINT	col0	VARCHAR			false	true		340
system	main	__internal_compress_string_uhugeint	scalar	UHUGEINT	col0	VARCHAR			false	true		342
system	main	__internal_compress_string_uinteger	scalar	UINTEGER	col0	VARCHAR			false	true		344
system	main	__internal_compress_string_usmallint	scalar	USMALLINT	col0	VARCHAR			false	true		346
system	main	__internal_compress_string_utinyint	scalar	UTINYINT	col0	VARCHAR			false	true		348
system	main	__internal_decompress_integral_bigint	scalar	BIGINT	col0|col1	UINTEGER|BIGINT			false	true		350
system	main	__internal_decompress_integral_bigint	scalar	BIGINT	col0|col1	USMALLINT|BIGINT			false	true		350
system	main	__internal_decompress_integral_bigint	scalar	BIGINT	col0|col1	UTINYINT|BIGINT			false	true		350
system	main	__internal_decompress_integral_hugeint	scalar	HUGEINT	col0|col1	UTINYINT|HUGEINT			false	true		352
system	main	__internal_decompress_integral_hugeint	scalar	HUGEINT	col0|col1	UBIGINT|HUGEINT			false	true		352
system	main	__internal_decompress_integral_hugeint	scalar	HUGEINT	col0|col1	UINTEGER|HUGEINT			false	true		352
system	main	__internal_decompress_integral_hugeint	scalar	HUGEINT	col0|col1	USMALLINT|HUGEINT			false	true		352
system	main	__internal_decompress_integral_integer	scalar	INTEGER	col0|col1	UTINYINT|INTEGER			false	true		354
system	main	__internal_decompress_integral_integer	scalar	INTEGER	col0|col1	USMALLINT|INTEGER			false	true		354
system	main	__internal_decompress_integral_smallint	scalar	SMALLINT	col0|col1	UTINYINT|SMALLINT			false	true		356
system	main	__internal_decompress_integral_ubigint	scalar	UBIGINT	col0|col1	UTINYINT|UBIGINT			false	true		358
system	main	__internal_decompress_integral_ubigint	scalar	UBIGINT	col0|col1	USMALLINT|UBIGINT			false	true		358
system	main	__internal_decompress_integral_ubigint	scalar	UBIGINT	col0|col1	UINTEGER|UBIGINT			false	true		358
system	main	__internal_decompress_integral_uhugeint	scalar	UHUGEINT	col0|col1	UINTEGER|UHUGEINT			false	true		360
system	main	__internal_decompress_integral_uhugeint	scalar	UHUGEINT	col0|col1	UBIGINT|UHUGEINT			false	true		360
system	main	__internal_decompress_integral_uhugeint	scalar	UHUGEINT	col0|col1	USMALLINT|UHUGEINT			false	true		360
system	main	__internal_decompress_integral_uhugeint	scalar	UHUGEINT	col0|col1	UTINYINT|UHUGEINT			false	true		360
system	main	__internal_decompress_integral_uinteger	scalar	UINTEGER	col0|col1	USMALLINT|UINTEGER			false	true		362
system	main	__internal_decompress_integral_uinteger	scalar	UINTEGER	col0|col1	UTINYINT|UINTEGER			false	true		362
system	main	__internal_decompress_integral_usmallint	scalar	USMALLINT	col0|col1	UTINYINT|USMALLINT			false	true		364
system	main	__internal_decompress_string	scalar	VARCHAR	col0	USMALLINT			false	true		366
system	main	__internal_decompress_string	scalar	VARCHAR	col0	HUGEINT			false	true		366
system	main	__internal_decompress_string	scalar	VARCHAR	col0	UHUGEINT			false	true		366
system	main	__internal_decompress_string	scalar	VARCHAR	col0	UINTEGER			false	true		366
system	main	__internal_decompress_string	scalar	VARCHAR	col0	UTINYINT			false	true		366
system	main	__internal_decompress_string	scalar	VARCHAR	col0	UBIGINT			false	true		366
system	main	abs	scalar	FLOAT	x	FLOAT			false	true	Absolute value	650
system	main	abs	scalar	DOUBLE	x	DOUBLE			false	true	Absolute value	650
system	main	abs	scalar	DECIMAL	x	DECIMAL			false	true	Absolute value	650
system	main	abs	scalar	UTINYINT	x	UTINYINT			false	true	Absolute value	650
system	main	abs	scalar	USMALLINT	x	USMALLINT			false	true	Absolute value	650
system	main	abs	scalar	UINTEGER	x	UINTEGER			false	true	Absolute value	650
system	main	abs	scalar	UBIGINT	x	UBIGINT			false	true	Absolute value	650
system	main	abs	scalar	UHUGEINT	x	UHUGEINT			false	true	Absolute value	650
system	main	abs	scalar	BIGINT	x	BIGINT			false	true	Absolute value	650
system	main	abs	scalar	HUGEINT	x	HUGEINT			false	true	Absolute value	650
system	main	abs	scalar	TINYINT	x	TINYINT			false	true	Absolute value	650
system	main	abs	scalar	SMALLINT	x	SMALLINT			false	true	Absolute value	650
system	main	abs	scalar	INTEGER	x	INTEGER			false	true	Absolute value	650
system	main	acos	scalar	DOUBLE	x	DOUBLE			false	true	Computes the arccosine of x	652
system	main	acosh	scalar	DOUBLE	x	DOUBLE			false	true	Computes the inverse hyperbolic cos of x	654
system	main	add	scalar	TIMESTAMP WITH TIME ZONE	col0|col1	TIME WITH TIME ZONE|DATE			false	true		368
system	main	add	scalar	UBIGINT	col0|col1	UBIGINT|UBIGINT			false	true		368
system	main	add	scalar	ANY[]			ANY[]		false	true		368
system	main	add	scalar	BIGNUM	col0|col1	BIGNUM|BIGNUM			false	true		368
system	main	add	scalar	TIMESTAMP	col0|col1	TIMESTAMP|INTERVAL			false	true		368
system	main	add	scalar	TIMESTAMP	col0|col1	INTERVAL|TIMESTAMP			false	true		368
system	main	add	scalar	TIME WITH TIME ZONE	col0|col1	TIME WITH TIME ZONE|INTERVAL			false	true		368
system	main	add	scalar	TIME WITH TIME ZONE	col0|col1	INTERVAL|TIME WITH TIME ZONE			false	true		368
system	main	add	scalar	TIMESTAMP	col0|col1	TIME|DATE			false	true		368
system	main	add	scalar	TIMESTAMP	col0|col1	DATE|TIME			false	true		368
system	main	add	scalar	TINYINT	col0	TINYINT			false	true		368
system	main	add	scalar	TIMESTAMP WITH TIME ZONE	col0|col1	DATE|TIME WITH TIME ZONE			false	true		368
system	main	add	scalar	SMALLINT	col0	SMALLINT			false	true		368
system	main	add	scalar	SMALLINT	col0|col1	SMALLINT|SMALLINT			false	true		368
system	main	add	scalar	INTEGER	col0	INTEGER			false	true		368
system	main	add	scalar	INTEGER	col0|col1	INTEGER|INTEGER			false	true		368
system	main	add	scalar	BIGINT	col0	BIGINT			false	true		368
system	main	add	scalar	BIGINT	col0|col1	BIGINT|BIGINT			false	true		368
system	main	add	scalar	HUGEINT	col0	HUGEINT			false	true		368
system	main	add	scalar	HUGEINT	col0|col1	HUGEINT|HUGEINT			false	true		368
system	main	add	scalar	FLOAT	col0	FLOAT			false	true		368
system	main	add	scalar	FLOAT	col0|col1	FLOAT|FLOAT			false	true		368
system	main	add	scalar	DOUBLE	col0	DOUBLE			false	true		368
system	main	add	scalar	DOUBLE	col0|col1	DOUBLE|DOUBLE			false	true		368
system	main	add	scalar	DECIMAL	col0	DECIMAL			false	true		368
system	main	add	scalar	DECIMAL	col0|col1	DECIMAL|DECIMAL			false	true		368
system	main	add	scalar	UTINYINT	col0	UTINYINT			false	true		368
system	main	add	scalar	UTINYINT	col0|col1	UTINYINT|UTINYINT			false	true		368
system	main	add	scalar	USMALLINT	col0	USMALLINT			false	true		368
system	main	add	scalar	USMALLINT	col0|col1	USMALLINT|USMALLINT			false	true		368
system	main	add	scalar	UINTEGER	col0	UINTEGER			false	true		368
system	main	add	scalar	UINTEGER	col0|col1	UINTEGER|UINTEGER			false	true		368
system	main	add	scalar	UBIGINT	col0	UBIGINT			false	true		368
system	main	add	scalar	TIME	col0|col1	INTERVAL|TIME			false	true		368
system	main	add	scalar	UHUGEINT	col0	UHUGEINT			false	true		368
system	main	add	scalar	UHUGEINT	col0|col1	UHUGEINT|UHUGEINT			false	true		368
system	main	add	scalar	DATE	col0|col1	DATE|INTEGER			false	true		368
system	main	add	scalar	DATE	col0|col1	INTEGER|DATE			false	true		368
system	main	add	scalar	INTERVAL	col0|col1	INTERVAL|INTERVAL			false	true		368
system	main	add	scalar	TIMESTAMP	col0|col1	DATE|INTERVAL			false	true		368
system	main	add	scalar	TIMESTAMP	col0|col1	INTERVAL|DATE			false	true		368
system	main	add	scalar	TIME	col0|col1	TIME|INTERVAL			false	true		368
system	main	add	scalar	TINYINT	col0|col1	TINYINT|TINYINT			false	true		368
